acc_mean_g,acc_std_g,acc_peak_g,acc_min_g,jerk_peak,jerk_mean,gyro_peak_dps,gyro_std_dps,ax_std,ay_std,az_std,gx_std,gy_std,gz_std,label,trigger
3.453,5.187,22.627,0.989,487.35,37.93,2000.0,418.5,3.726,0.002,4.403,0.0,453.0,0.0,hard_kick,0
8.453,6.664,22.627,1.0,612.84,119.85,2000.0,551.0,5.433,0.002,7.71,0.0,719.0,0.0,repeated_kick,1
2.583,3.168,16.104,0.987,385.31,29.91,1602.2,278.5,1.546,0.002,3.459,0.0,303.1,0.0,soft_kick,0
3.447,5.159,22.627,0.982,569.24,36.79,2000.0,394.7,3.751,0.002,4.319,0.0,426.7,0.0,hard_kick,0
1.014,0.002,1.02,1.009,0.48,0.11,2.3,0.5,0.002,0.002,0.006,0.0,1.0,0.0,sitting,0
0.987,0.002,0.991,0.982,0.43,0.1,1.5,0.4,0.002,0.002,0.004,0.0,0.9,0.0,standing,0
0.996,0.002,1.001,0.989,0.41,0.12,1.9,0.4,0.002,0.002,0.005,0.0,0.8,0.0,standing,0
13.336,3.757,17.913,4.384,319.66,106.82,1475.3,454.5,5.446,0.002,8.756,0.0,1046.1,0.0,running,0
10.599,6.273,22.627,0.982,610.45,147.64,2000.0,586.5,5.774,0.002,8.721,0.0,875.3,0.0,repeated_kick,1
1.372,1.528,8.562,0.019,237.82,19.52,356.5,73.7,0.593,0.002,1.712,0.0,85.3,0.0,jumping,0
1.363,1.526,8.427,0.003,236.43,19.3,357.3,72.9,0.585,0.002,1.708,0.0,84.6,0.0,jumping,0
10.567,6.267,22.627,0.994,612.98,148.05,2000.0,569.8,5.736,0.002,8.624,0.0,855.7,0.0,repeated_kick,1
0.982,0.002,0.987,0.977,0.26,0.09,2.2,0.6,0.002,0.002,0.006,0.0,1.0,0.0,sitting,0
1.608,0.446,2.383,0.894,27.3,15.37,172.0,52.5,0.428,0.002,1.362,0.0,120.7,0.0,shake_leg,0
2.203,0.806,3.434,0.824,63.56,35.61,223.4,70.2,0.667,0.002,2.085,0.0,156.0,0.0,shake_leg,0
1.004,0.002,1.009,0.998,0.39,0.12,2.4,0.4,0.002,0.002,0.004,0.0,1.4,0.0,standing,0
2.65,3.25,16.186,0.995,409.44,32.78,1210.4,230.3,1.516,0.002,3.588,0.0,249.4,0.0,soft_kick,0
2.533,3.172,16.059,0.494,476.4,29.45,1614.6,294.1,1.561,0.002,3.425,0.0,317.9,0.0,soft_kick,0
0.992,0.002,0.998,0.987,0.33,0.11,2.8,0.8,0.002,0.002,0.007,0.0,1.2,0.0,sitting,0
3.448,5.141,22.627,0.994,556.49,35.03,2000.0,412.8,3.752,0.002,4.297,0.0,445.3,0.0,hard_kick,0
1.387,1.54,9.316,0.024,255.16,18.78,349.5,72.7,0.542,0.002,1.752,0.0,84.6,0.0,jumping,0
0.989,0.002,0.993,0.984,0.41,0.09,3.5,0.9,0.002,0.002,0.005,0.0,1.3,0.0,standing,0
2.56,3.186,16.044,0.884,518.24,29.72,1464.5,280.9,1.563,0.002,3.447,0.0,304.4,0.0,soft_kick,0
0.986,0.002,0.993,0.981,0.5,0.11,2.1,0.3,0.002,0.002,0.006,0.0,0.5,0.0,standing,0
1.198,0.7,5.359,0.375,121.72,7.69,989.1,114.4,0.472,0.002,0.815,0.0,121.7,0.0,stomp,0
10.509,6.227,22.627,1.008,573.03,135.29,2000.0,588.4,5.814,0.002,8.472,0.0,896.9,0.0,repeated_kick,1
13.193,3.739,17.029,4.198,294.09,96.54,1430.3,442.7,5.697,0.002,8.413,0.0,1017.2,0.0,running,0
3.452,5.14,22.627,0.998,554.63,34.93,2000.0,413.6,3.752,0.002,4.297,0.0,446.3,0.0,hard_kick,0
2.817,0.602,3.584,0.929,59.49,11.45,434.6,134.1,0.987,0.002,1.964,0.0,303.0,0.0,walking,0
1.223,0.686,5.542,0.398,129.38,7.08,1277.4,151.4,0.465,0.002,0.79,0.0,158.7,0.0,stomp,0
3.476,5.156,22.627,1.01,572.2,36.95,2000.0,392.7,3.747,0.002,4.323,0.0,424.8,0.0,hard_kick,0
2.581,3.199,16.037,1.012,542.41,29.94,1299.3,266.7,1.56,0.002,3.471,0.0,289.6,0.0,soft_kick,0
2.577,3.217,16.03,0.993,561.41,30.24,1224.0,253.9,1.557,0.002,3.493,0.0,276.5,0.0,soft_kick,0
10.656,6.239,22.627,0.987,614.31,151.32,2000.0,578.5,5.694,0.002,8.816,0.0,844.3,0.0,repeated_kick,1
1.014,0.002,1.02,1.006,0.46,0.12,2.7,0.8,0.002,0.002,0.009,0.0,1.6,0.0,sitting,0
1.191,0.679,5.46,0.382,119.15,6.91,1224.6,149.6,0.465,0.002,0.772,0.0,157.5,0.0,stomp,0
0.999,0.002,1.008,0.995,0.36,0.11,1.5,0.3,0.002,0.002,0.005,0.0,0.9,0.0,sitting,0
10.681,6.14,22.627,1.058,589.04,145.76,2000.0,570.4,5.784,0.002,8.683,0.0,860.2,0.0,repeated_kick,1
2.002,0.657,3.079,0.895,49.11,27.27,207.0,63.3,0.596,0.002,1.832,0.0,146.2,0.0,shake_leg,0
8.406,6.628,22.627,1.001,593.9,112.42,2000.0,568.0,5.501,0.002,7.559,0.0,748.2,0.0,repeated_kick,1
1.375,1.548,9.073,0.014,198.42,20.36,363.1,72.6,0.616,0.002,1.718,0.0,85.0,0.0,jumping,0
1.026,0.002,1.033,1.021,0.35,0.1,1.0,0.1,0.002,0.002,0.004,0.0,0.4,0.0,standing,0
2.686,0.508,3.411,1.146,52.99,10.21,417.8,130.4,0.937,0.002,1.838,0.0,295.7,0.0,walking,0
1.524,0.419,2.27,0.905,23.71,12.69,164.0,50.6,0.395,0.002,1.255,0.0,114.6,0.0,shake_leg,0
1.192,0.656,5.227,0.415,105.21,6.79,926.3,123.0,0.468,0.002,0.75,0.0,131.3,0.0,stomp,0
3.454,5.141,22.627,0.995,561.42,35.45,2000.0,408.6,3.749,0.002,4.301,0.0,440.8,0.0,hard_kick,0
10.736,6.198,22.627,1.02,614.2,158.5,2000.0,575.0,5.658,0.002,8.889,0.0,836.4,0.0,repeated_kick,1
2.517,0.551,3.315,0.712,36.39,9.35,407.9,126.0,0.855,0.002,1.704,0.0,282.8,0.0,walking,0
1.32,0.275,1.841,0.95,12.45,6.34,137.2,42.1,0.284,0.002,0.918,0.0,96.9,0.0,shake_leg,0
2.48,0.482,3.226,1.116,40.34,8.99,400.3,123.8,0.846,0.002,1.633,0.0,274.4,0.0,walking,0
3.479,5.223,22.627,0.993,562.22,40.33,2000.0,404.7,3.695,0.002,4.49,0.0,437.5,0.0,hard_kick,0
1.143,0.669,5.284,0.359,109.25,6.96,1028.0,132.8,0.467,0.002,0.753,0.0,141.0,0.0,stomp,0
1.181,0.657,5.097,0.396,101.06,6.86,682.3,100.3,0.47,0.002,0.753,0.0,108.9,0.0,stomp,0
3.434,5.147,22.627,0.973,560.32,35.54,2000.0,407.9,3.752,0.002,4.301,0.0,440.1,0.0,hard_kick,0
1.011,0.002,1.016,1.007,0.37,0.11,1.9,0.1,0.002,0.002,0.006,0.0,0.6,0.0,standing,0
1.376,1.663,9.974,0.019,270.13,20.31,356.3,72.9,0.624,0.002,1.838,0.0,85.1,0.0,jumping,0
1.364,1.643,9.576,0.018,241.19,20.82,361.0,72.5,0.688,0.002,1.78,0.0,85.0,0.0,jumping,0
2.599,3.187,16.122,0.973,352.42,30.37,1525.7,263.8,1.536,0.002,3.494,0.0,287.6,0.0,soft_kick,0
1.156,0.675,5.379,0.371,111.5,6.91,1152.0,144.1,0.466,0.002,0.763,0.0,152.1,0.0,stomp,0
1.246,0.263,1.73,0.908,11.04,5.61,131.5,40.2,0.262,0.002,0.86,0.0,93.1,0.0,shake_leg,0
3.261,0.674,4.035,1.327,66.08,15.2,472.5,145.7,1.102,0.002,2.453,0.0,332.2,0.0,walking,0
2.565,3.19,16.041,1.005,525.92,29.75,1416.1,276.7,1.562,0.002,3.454,0.0,299.9,0.0,soft_kick,0
8.404,6.635,22.627,1.003,574.6,114.04,2000.0,559.6,5.508,0.002,7.547,0.0,743.2,0.0,repeated_kick,1
1.36,1.574,9.136,0.012,206.15,20.87,362.4,73.0,0.644,0.002,1.728,0.0,85.3,0.0,jumping,0
1.542,0.412,2.271,0.928,23.71,12.65,164.9,51.1,0.398,0.002,1.255,0.0,116.5,0.0,shake_leg,0
11.598,3.799,16.068,2.423,237.02,96.3,1319.2,400.5,5.174,0.002,7.434,0.0,938.4,0.0,running,0
0.992,0.002,0.998,0.986,0.41,0.12,3.1,0.8,0.003,0.002,0.01,0.0,1.5,0.0,sitting,0
1.364,1.58,9.615,0.044,244.3,20.62,361.6,72.6,0.601,0.002,1.763,0.0,85.1,0.0,jumping,0
1.368,1.571,8.748,0.011,213.15,20.03,360.1,73.1,0.656,0.002,1.718,0.0,85.1,0.0,jumping,0
8.402,6.671,22.627,0.994,613.17,114.65,2000.0,578.3,5.51,0.002,7.628,0.0,761.4,0.0,repeated_kick,1
1.347,1.547,8.732,0.036,237.83,19.29,354.9,73.1,0.602,0.002,1.724,0.0,84.5,0.0,jumping,0
1.392,0.3,1.916,0.953,16.95,7.77,143.7,43.8,0.311,0.002,1.008,0.0,102.1,0.0,shake_leg,0
3.448,5.152,22.627,0.992,538.65,33.77,2000.0,424.8,3.765,0.002,4.303,0.0,458.4,0.0,hard_kick,0
0.979,0.002,0.983,0.974,0.35,0.1,2.0,0.5,0.002,0.002,0.003,0.0,1.1,0.0,standing,0
1.36,1.569,9.242,0.03,216.55,20.8,362.5,73.2,0.632,0.002,1.733,0.0,85.6,0.0,jumping,0
3.442,5.196,22.627,0.972,498.33,38.37,2000.0,416.9,3.724,0.002,4.414,0.0,451.3,0.0,hard_kick,0
1.385,1.589,9.862,0.017,267.68,19.05,354.8,72.2,0.538,0.002,1.803,0.0,84.5,0.0,jumping,0
0.987,0.002,0.991,0.981,0.39,0.13,1.5,0.1,0.002,0.002,0.006,0.0,0.4,0.0,standing,0
2.521,3.183,16.05,0.502,494.86,29.6,1566.0,290.2,1.562,0.002,3.431,0.0,313.8,0.0,soft_kick,0
1.375,1.534,9.205,0.024,213.16,20.7,362.3,72.9,0.586,0.002,1.721,0.0,85.4,0.0,jumping,0
1.174,0.67,5.361,0.387,110.03,6.87,1131.4,142.4,0.466,0.002,0.76,0.0,150.4,0.0,stomp,0
2.554,0.47,3.259,1.387,40.61,9.43,402.1,121.7,0.877,0.002,1.628,0.0,287.0,0.0,walking,0
1.009,0.002,1.014,1.004,0.28,0.1,0.9,0.1,0.002,0.002,0.005,0.0,0.4,0.0,standing,0
2.59,3.17,16.107,0.987,383.31,29.87,1590.9,276.1,1.545,0.002,3.467,0.0,300.8,0.0,soft_kick,0
1.011,0.002,1.017,1.006,0.39,0.11,2.7,0.7,0.002,0.002,0.007,0.0,1.3,0.0,sitting,0
2.578,3.168,16.103,0.98,388.83,29.92,1607.1,279.7,1.546,0.002,3.457,0.0,304.2,0.0,soft_kick,0
1.001,0.002,1.006,0.997,0.36,0.12,3.4,1.0,0.002,0.002,0.004,0.0,1.5,0.0,standing,0
12.515,3.709,16.265,3.799,262.44,96.06,1370.0,429.6,5.381,0.002,7.816,0.0,957.5,0.0,running,0
0.996,0.002,1.001,0.991,0.33,0.11,3.0,0.9,0.002,0.002,0.007,0.0,1.2,0.0,sitting,0
1.01,0.002,1.014,1.005,0.35,0.12,2.2,0.3,0.002,0.002,0.005,0.0,1.0,0.0,standing,0
2.591,3.21,15.497,0.999,552.59,29.84,1207.7,234.2,1.55,0.002,3.495,0.0,256.6,0.0,soft_kick,0
1.009,0.002,1.015,1.003,0.33,0.11,2.9,0.6,0.002,0.002,0.008,0.0,1.5,0.0,sitting,0
1.439,0.345,2.052,0.91,22.26,9.92,152.1,46.9,0.353,0.002,1.127,0.0,107.3,0.0,shake_leg,0
1.377,1.607,9.711,0.015,251.29,20.48,359.8,72.2,0.611,0.002,1.784,0.0,84.7,0.0,jumping,0
1.352,1.535,8.951,0.024,212.28,20.02,362.4,73.0,0.604,0.002,1.709,0.0,85.2,0.0,jumping,0
10.501,6.239,22.627,1.001,560.8,134.43,2000.0,596.4,5.829,0.002,8.485,0.0,900.0,0.0,repeated_kick,1
1.001,0.002,1.007,0.996,0.37,0.1,1.7,0.5,0.002,0.002,0.005,0.0,0.8,0.0,sitting,0
1.987,0.655,3.045,0.872,47.12,26.99,204.0,62.7,0.58,0.002,1.815,0.0,145.0,0.0,shake_leg,0
3.462,5.209,22.627,0.989,534.27,39.54,2000.0,411.0,3.708,0.002,4.454,0.0,444.8,0.0,hard_kick,0
1.389,1.552,9.083,0.039,248.05,19.04,351.6,72.8,0.586,0.002,1.742,0.0,84.6,0.0,jumping,0
2.64,3.267,16.205,0.977,444.72,33.69,1200.2,227.1,1.518,0.002,3.603,0.0,248.1,0.0,soft_kick,0
1.178,0.705,5.458,0.345,128.21,7.72,1099.5,124.7,0.471,0.002,0.814,0.0,132.0,0.0,stomp,0
1.209,0.695,5.269,0.393,115.88,7.62,898.3,107.5,0.473,0.002,0.813,0.0,114.5,0.0,stomp,0
0.979,0.002,0.982,0.974,0.38,0.11,3.1,0.9,0.002,0.002,0.005,0.0,1.5,0.0,standing,0
1.162,0.682,5.443,0.356,118.22,6.94,1216.4,149.1,0.465,0.002,0.771,0.0,157.1,0.0,stomp,0
1.786,0.574,2.757,0.909,38.04,20.52,188.8,57.5,0.506,0.002,1.587,0.0,134.7,0.0,shake_leg,0
1.349,1.568,8.963,0.013,200.97,20.31,360.8,72.9,0.646,0.002,1.72,0.0,85.2,0.0,jumping,0
2.47,0.475,3.207,1.126,44.13,9.23,397.8,121.1,0.859,0.002,1.638,0.0,282.0,0.0,walking,0
2.122,0.73,3.27,0.865,57.11,32.27,216.5,66.8,0.642,0.002,1.993,0.0,153.6,0.0,shake_leg,0
13.126,3.752,17.571,4.259,309.0,106.05,1458.4,448.0,5.467,0.002,8.539,0.0,1024.5,0.0,running,0
2.699,0.497,3.431,1.267,51.32,10.37,418.4,127.4,0.942,0.002,1.816,0.0,290.9,0.0,walking,0
12.69,3.632,16.328,3.872,268.38,98.95,1381.2,418.7,5.517,0.002,7.945,0.0,968.6,0.0,running,0
1.173,0.679,4.873,0.399,101.7,7.11,438.4,82.9,0.473,0.002,0.79,0.0,91.5,0.0,stomp,0
8.362,6.623,22.627,1.001,572.35,108.03,2000.0,582.5,5.546,0.002,7.48,0.0,771.1,0.0,repeated_kick,1
1.194,0.68,5.463,0.41,124.6,6.99,1257.6,151.5,0.466,0.002,0.78,0.0,159.2,0.0,stomp,0
1.013,0.002,1.017,1.009,0.25,0.09,1.9,0.3,0.002,0.002,0.007,0.0,0.5,0.0,standing,0
0.988,0.002,0.994,0.983,0.38,0.11,1.9,0.3,0.002,0.002,0.005,0.0,1.3,0.0,standing,0
1.02,0.002,1.026,1.014,0.41,0.13,2.2,0.5,0.002,0.002,0.005,0.0,0.9,0.0,standing,0
1.355,1.595,9.159,0.036,250.54,19.89,350.1,73.9,0.642,0.002,1.759,0.0,85.5,0.0,jumping,0
0.981,0.002,0.986,0.975,0.36,0.12,2.5,0.1,0.002,0.002,0.005,0.0,0.9,0.0,standing,0
2.593,3.207,15.529,1.002,548.25,29.85,1203.5,231.1,1.549,0.002,3.493,0.0,253.2,0.0,soft_kick,0
13.602,3.887,18.45,4.496,334.48,103.83,1502.8,465.6,5.775,0.002,8.726,0.0,1072.8,0.0,running,0
1.362,1.569,8.711,0.049,217.77,19.86,360.5,72.7,0.658,0.002,1.719,0.0,84.7,0.0,jumping,0
2.6,0.554,3.396,0.785,46.05,10.47,416.7,128.7,0.878,0.002,1.793,0.0,290.4,0.0,walking,0
1.0,0.002,1.005,0.995,0.32,0.11,2.8,0.8,0.002,0.002,0.003,0.0,1.3,0.0,standing,0
1.374,1.539,8.982,0.01,245.31,19.38,351.6,73.9,0.582,0.002,1.731,0.0,85.4,0.0,jumping,0
2.549,3.162,16.074,0.987,445.09,29.24,1651.7,294.2,1.558,0.002,3.426,0.0,318.6,0.0,soft_kick,0
2.026,0.664,3.08,0.884,48.84,27.72,206.5,63.6,0.597,0.002,1.858,0.0,146.5,0.0,shake_leg,0
3.012,0.632,3.754,0.752,58.22,12.54,449.5,141.4,1.046,0.002,2.135,0.0,309.1,0.0,walking,0
3.436,5.179,22.627,0.972,457.53,36.68,2000.0,422.4,3.741,0.002,4.372,0.0,457.1,0.0,hard_kick,0
12.399,3.607,16.248,3.9,249.88,98.98,1348.3,424.5,5.457,0.002,7.764,0.0,955.8,0.0,running,0
0.997,0.002,1.002,0.992,0.32,0.1,1.7,0.2,0.002,0.002,0.005,0.0,0.8,0.0,sitting,0
3.226,0.672,4.03,1.172,67.85,15.01,471.7,143.0,1.09,0.002,2.401,0.0,326.1,0.0,walking,0
2.163,0.731,3.311,0.873,57.58,32.65,217.1,66.7,0.641,0.002,2.004,0.0,153.8,0.0,shake_leg,0
1.017,0.002,1.022,1.013,0.37,0.11,2.7,0.4,0.002,0.002,0.004,0.0,1.1,0.0,standing,0
1.384,1.547,9.363,0.015,224.9,20.27,361.5,72.3,0.585,0.002,1.734,0.0,84.9,0.0,jumping,0
1.433,0.337,2.04,0.92,19.95,9.93,153.0,47.1,0.35,0.002,1.125,0.0,108.7,0.0,shake_leg,0
0.994,0.002,1.0,0.989,0.36,0.09,1.7,0.1,0.002,0.002,0.003,0.0,0.6,0.0,standing,0
8.367,6.661,22.627,0.98,574.42,110.85,2000.0,586.8,5.543,0.002,7.564,0.0,775.5,0.0,repeated_kick,1
3.449,5.167,22.627,0.991,482.87,35.34,2000.0,424.9,3.749,0.002,4.347,0.0,459.5,0.0,hard_kick,0
